Protein Groups	Gene Name	Organism	Intensity_20190107_QE5_nLC5_DS_QC_MNT_HeLa_FlashPack_02	
A0A075B759,A0A075B767,A0A0B4J2A2,F5H284,P0DN26,P0DN37,P62937,Q9Y536			286864736.458333	
A0A075B759,A0A075B767,A0A0B4J2A2,F5H284,P0DN26,P62937,Q9Y536			374306674.73977	
A0A096LP55,P07919			6246528.91666667	
A0A0B4J2D5,P0DPI2			14736867.3359211	
A0A1B0GTU1,O75152			1340217.74846639	
A0A1B0GUS4,P68036			43594898.5833333	
A0A2R8Y619,O60814,P06899,P23527,P33778,P57053,P58876,P62807,Q16778,Q5QNW6,Q8N257,Q93079,Q96A08,Q99877,Q99879,Q99880			1970666496	
A0AVT1			17567685.5625	
A0FGR8			13313764.6577127	
A0MZ66			7671027.66415582	
A1L0T0			15255602.4345081	
A1L429,A6NDE8,A6NER3,O76087,P0CL80,P0CL81,P0CL82,P0DSO3,P0DTW1,Q13069,Q13070,Q4V321,Q4V326			4144287.875	
A1X283			9935157.19791667	
A1X283,Q5TCZ1			4724443.85031592	
A2A3N6,Q99755			1703506.4140625	
A2RTX5,P26639			1886365.14094268	
A4D1E9			3444080.0211972	
A5A3E0,P0CG38,P0CG39,P60709,P62736,P63261,P63267,P68032,P68133,Q6S8J3			1862594656.83333	
A5A3E0,P0CG38,P0CG39,P60709,P62736,P63261,P63267,P68032,Q562R1,Q6S8J3,Q9BYX7			1486779.00834388	
A5A3E0,P0CG38,P0CG39,P60709,P63261,P68032,P68133,Q6S8J3,Q9BYX7			556920128.426039	
A5A3E0,P0CG38,P0CG39,P60709,P63261,Q562R1,Q6S8J3			10512449.9478189	
A5A3E0,P0CG38,P0CG39,P60709,P63261,Q6S8J3			8300238.72699372	
A5A3E0,P0CG38,P0CG39,P60709,P63261,Q6S8J3,Q9BYX7			691863385.916667	
A5A3E0,P0CG38,P60709,P62736,P63261,P63267,P68032,P68133,Q6S8J3			171762488.979167	
A5A3E0,P0CG38,P60709,P62736,P63261,P63267,P68032,P68133,Q6S8J3,Q9BYX7			1297879911.66667	
A5A3E0,P60709,P62736,P63261,P63267,P68032,P68133,Q562R1,Q6S8J3,Q9BYX7			1135704498.07292	
A5YKK6			10640768.0632892	
A6NCE7,Q9GZQ8			9229521.04166667	
A6NDG6			18618216.8546015	
A6NDU8			10557615.2107142	
A6NEC2,P55786			38988460.8125	
A6NHG4,P30046			49834443.6666667	
A6NHL2,P0DPH7,P0DPH8,P68363,P68366,Q71U36,Q9BQE3,Q9NY65			436527100.583333	
A6NHL2,P68363,P68366,Q71U36,Q9BQE3			460610494.833333	
A6NHQ2,P22087			8195371.33333333	
A6NHR9			8500664.84917617	
A6NIZ1,P61224			22345007.4441661	
A6NIZ1,P61224,P62834			70761840.6361909	
A6NKT7,O14715,P0DJD0,P0DJD1,P49792,Q7Z3J3,Q99666			9798231.33544207	
A6NKT7,O14715,P49792,Q7Z3J3,Q99666			9662324.05208333	
A6NKT7,P0DJD0,P0DJD1,P49792,Q7Z3J3			6870876	
A6NMY6,P07355			1395123894	
A6NMY6,P07355,P27216			12338077.0625	
A6NNZ2,P04350,P07437,P68371,Q13509,Q13885,Q3ZCM7,Q9BUF5,Q9BVA1			557293040.25	
A6NNZ2,P04350,P07437,P68371,Q13509,Q13885,Q3ZCM7,Q9BUF5,Q9BVA1,Q9H4B7			680150042.25	
A6NNZ2,P04350,P07437,P68371,Q13885,Q3ZCM7,Q9BUF5,Q9BVA1			636483658.166667	
A6NNZ2,P04350,P07437,P68371,Q13885,Q3ZCM7,Q9BVA1			46895430.7530007	
A6NNZ2,P07437,P68371,Q13885,Q3ZCM7,Q9BVA1,Q9H4B7			96039148	
A6NNZ2,Q13885,Q9BVA1			948489.708333333	
A6ZKI3,Q17RB0			7478554.0625	
A6ZKI3,Q17RB0,Q9BWD3			2670674.859375	
A6ZKI3,Q9BWD3			19862408.2854315	
A7E2Y1,O00159,O43795,O94832,P11055,P12882,P12883,P13533,P13535,P35579,P35580,P35749,Q13402,Q6PIF6,Q7Z406,Q8N1T3,Q8NEV4,Q8WXR4,Q9NQX4,Q9UKN7,Q9UKX2,Q9UKX3,Q9ULV0,Q9Y2K3,Q9Y4I1,Q9Y623			21739343.875	
A7E2Y1,P11055,P12882,P12883,P13533,P13535,P35579,P35580,P35749,Q7Z406,Q9UKX2,Q9UKX3,Q9Y623			32378613.2083333	
A8CG34,Q6PJE2,Q96HA1			1100956.4589888	
A8MTJ3,P04899,P08754,P09471,P11488,P19087,P38405,P63092,P63096,Q03113,Q14344,Q5JWF2			50692331	
A8MUU1,Q01469			37968384.5	
A8MWD9,P62308			21627688.625	
B2RPK0,P09429			128106788.666667	
B2RPK0,P09429,P23497			57894225	
B2RPK0,P09429,P26583			69996568.9583333	
B2RXH8,B7ZW38,O60812,P07910,P0DMR1			286615465.666667	
B5ME19,Q99613			36688097	
B7ZAP0,Q9Y3P9			2022213.73047897	
C9JQL5,Q01628			17704980.5504524	
E9PAV3,Q13765			227639618.5	
E9PAV3,Q13765,Q9BZK3			58333360.2708333	
E9PQ53,O95298			2976641.79166667	
E9PRG8			6558025.84809677	
G2XKQ0,P63165			22158919.6666667	
L0R6Q1			4268999.67646966	
O00115			5849755	
O00116			38618560.3353016	
O00139			7006971.01037617	
O00139,Q8N4N8			3820975.58444403	
O00139,Q99661			3234400.4650462	
O00148			84609915.9407168	
O00148,Q13838			171483401.291667	
O00151			43516288.2851066	
O00154			23988957.3007495	
O00159			28515147.0444105	
O00159,O43795,Q9UBC5			5594945.125	
O00160,Q12965			8126337.35973972	
O00161			6777873.43855984	
O00170			23432291.96875	
O00178			10061606.8051137	
O00186			2277902.79712581	
O00193			24874818.1458333	
O00194,O95716,P20336,P20337,P20338,P20340,P51159,P59190,P61006,P61018,P61026,P61106,P62820,Q14964,Q15286,Q15771,Q5JT25,Q6IQ22,Q7Z6P3,Q86YS6,Q8IZ41,Q92928,Q92930,Q96AX2,Q96DA2,Q96E17,Q9BZG1,Q9H082,Q9H0U4,Q9NP90,Q9NRW1			9222977.75	
